[2022-12-08 14:07:16,862] WARNING [django.request.log_response:241] Forbidden: /contract/doctor/53/approve/
[2022-12-08 14:07:25,335] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/53/approve/
[2022-12-08 14:07:46,229] ERROR [shared.exception_handler.__handle_attribute_error:122] 'TreatmentContract' object has no attribute 'endTime'
[2022-12-08 14:07:46,231] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/54/approve/
[2022-12-08 14:07:53,101] ERROR [shared.exception_handler.__handle_attribute_error:122] 'TreatmentContract' object has no attribute 'endTime'
[2022-12-08 14:07:53,102] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/54/approve/
[2022-12-08 14:10:17,574] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/54/approve/
[2022-12-08 14:13:26,485] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/54/approve/
[2022-12-08 14:13:38,763] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/54/approve/
[2022-12-08 14:15:30,859] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/54/approve/
[2022-12-08 14:31:26,734] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/cancel/session/
[2022-12-08 15:29:52,514] ERROR [django.request.log_response:241] Internal Server Error: /prescription/doctor/66/
[2022-12-08 15:39:52,172] ERROR [django.request.log_response:241] Internal Server Error: /prescription/
[2022-12-09 06:59:27,673] ERROR [shared.exception_handler.__handle_attribute_error:122] 'QuerySet' object has no attribute 'prescriptiondetail_set'
[2022-12-09 06:59:27,678] ERROR [django.request.log_response:241] Internal Server Error: /prescription-detail/doctor/145/
